Face 1, [Node 3500] nan nan nan nan nan nan nan nan 

  Angle       Time     IS     IA     IP     AS     AA     AP   IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
 270.00   64679.90   833.86   0.00   3.17   83.39   0.00   2.09   833.86     837.03   83.39      85.48
 288.00   68991.90   833.86   0.03   2.87   83.39   0.00   1.89   833.89     836.75   83.39      85.28
 306.00   73303.89   833.86   0.09   2.51   83.39   0.01   1.66   833.95     836.46   83.39      85.05
 324.00   77615.88   833.86   0.17   1.28   83.39   0.02   0.84   834.03     835.31   83.40      84.25
 342.00   81927.88   833.86   0.18   0.57   83.39   0.02   0.37   834.04     834.60   83.40      83.78
 360.00   86239.87   833.86   0.01   0.01   83.39   0.00   0.00   833.86     833.87   83.39      83.39
                                                                                                      
Average              833.86   0.09   1.12   83.39   0.01   0.74   833.95     835.07   83.39      84.13


Face 9, [Node 3504] nan nan nan nan nan nan nan nan 

  Angle       Time     IS     IA     IP     AS     AA     AP   IS+IA   IS+IA+IP   AS+AA   AS+AA+AP
   0.00       0.00   0.00   0.12   0.70   0.00   0.01   0.46    0.12       0.81    0.01       0.47
  18.00    4311.99   0.00   0.52   1.04   0.00   0.05   0.69    0.52       1.56    0.05       0.74
  36.00    8623.99   0.00   1.91   2.33   0.00   0.19   1.54    1.91       4.24    0.19       1.73
  54.00   12935.98   0.00   3.14   2.95   0.00   0.31   1.95    3.14       6.09    0.31       2.26
  72.00   17247.97   0.00   3.93   3.35   0.00   0.39   2.21    3.93       7.28    0.39       2.60
  90.00   21559.97   0.00   3.40   2.93   0.00   0.34   1.93    3.40       6.34    0.34       2.28
 108.00   25871.96   0.00   3.42   3.22   0.00   0.34   2.13    3.42       6.64    0.34       2.47
 126.00   30183.95   0.00   2.01   2.39   0.00   0.20   1.57    2.01       4.40    0.20       1.78
 144.00   34495.95   0.00   0.98   1.57   0.00   0.10   1.04    0.98       2.56    0.10       1.14
 162.00   38807.94   0.00   0.16   0.58   0.00   0.02   0.38    0.16       0.74    0.02       0.40
 180.00   43119.93   0.00   0.01   0.05   0.00   0.00   0.03    0.01       0.06    0.00       0.03
 198.00   47431.93   0.00   0.00   0.07   0.00   0.00   0.05    0.00       0.08    0.00       0.05
 216.00   51743.92   0.00   0.00   0.04   0.00   0.00   0.03    0.00       0.04    0.00       0.03
 234.00   56055.92   0.00   0.00   0.10   0.00   0.00   0.07    0.00       0.11    0.00       0.07
 252.00   60367.91   0.00   0.00   0.07   0.00   0.00   0.05    0.00       0.07    0.00       0.05
 270.00   64679.90   0.00   0.00   0.08   0.00   0.00   0.05    0.00       0.08    0.00       0.05
 288.00   68991.90   0.00   0.00   0.11   0.00   0.00   0.08    0.00       0.11    0.00       0.08
