Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.82,2,0.3077256845696548882199964530,0.310231542006982,0.310231542006982,0.308100943776625,0.308100943776625,0.0556344285905755,0.0664274622771545181346728468,0.0657467241941343161346728468,0.000680738083020202,2.0313312816263449432243505776,567.27915803398876366132920941,576.58503877723764628122722981,8398539000
11.83,2,0.3077065218266591462131266813,0.310212440975772,0.310212440975772,0.308081757665428,0.308081757665428,0.0556371998574426,0.0664295652394649820009411551,0.0657420578151074080009411551,0.000687507424357574,2.031139304621772807796701665,567.27648964497366190625134677,576.56512574553775317498693634,8405645000
11.84,2,0.3076873947544831145882777996,0.310193375910896,0.310193375910896,0.30806260726855,0.30806260726855,0.0556399777176852,0.0664316760463414309529130118,0.0657373992806464839529130118,0.000694276765694947,2.030947651027638293377857002,567.27372124988596579554897829,576.54512076021486741498139855,8412750000
11.85,2,0.3076684053051105684556765120,0.310174448838994,0.310174448838994,0.308043594662301,0.308043594662301,0.0556427589671733,0.0664337950562841001330852795,0.0657327489492517821330852795,0.000701046107032318,2.0307563310093510109377394439,567.27105253599699965150386799,576.52521088430079932218414773,8419856000
11.86,2,0.3076494506750617051411648138,0.310155556892756,0.310155556892756,0.308024616917836,0.308024616917836,0.0556455471647061,0.0664359222359067777756176352,0.0657281067875370877756176352,0.00070781544836969,2.0305653435056078334247604474,567.26838334177768097807615473,576.50530227832005299819281791,8426961000
11.87,2,0.3076304328401907441823812921,0.310136601963274,0.310136601963274,0.308005575891474,0.308005575891474,0.0556483450191146,0.0664380568684390489161972379,0.0657234720787319869161972379,0.000714584789707062,2.0303746678775861366002383108,567.26581341742478318043527481,576.48548854520366781760286868,8434066000
11.88,2,0.3076115506510440203561405304,0.31011778304964,0.31011778304964,0.30798667067625,0.30798667067625,0.0556511463650716,0.0664401997372774820062079302,0.0657188456062330470062079302,0.000721354131044435,2.0301843264630844610168867685,567.26324360519552338878719501,576.4656766561278883492203261,8441171000
11.89,2,0.3075926043819010724891912771,0.310098900278214,0.310098900278214,0.307967701302887,0.307967701302887,0.0556539574317115,0.0664423500922723717819684613,0.0657142266198905647819684613,0.000728123472381807,2.0299942976670325500403263984,567.26067354300782735421768345,576.44586637110451062104681312,8448277000
11.90,2,0.3075737929307920717003323343,0.310080152678448,0.310080152678448,0.307948866911963,0.307948866911963,0.0556567715608116,0.0664445082252848944437569424,0.0657096154115657164437569424,0.000734892813719178,2.0298045897457786766189686574,567.25820238721932054940197883,576.42615064010414099073059613,8455382000
11.91,2,0.3075549172499835567452543247,0.310061341108621,0.310061341108621,0.307929968213014,0.307929968213014,0.0556595964904282,0.0664466749197115670830796563,0.0657050127646550170830796563,0.00074166215505655,2.0296152250371141517227364009,567.25573101086860484658860093,576.40643642864795801383748896,8462488000
11.92,2,0.3075361773865690785807706109,0.310042665688892,0.310042665688892,0.307911205497083,0.307911205497083,0.0556624238310197,0.0664488487752142776009135682,0.0657004172788203566009135682,0.000748431496393921,2.0294261633194486483000410868,567.253259637103575075564987,576.3867241289670636484946519,8469593000
11.93,2,0.3075174724420627486372902278,0.310024025494472,0.310024025494472,0.307892477742642,0.307892477742642,0.0556652581161378,0.0664510308003588097770739321,0.0656958299626275157770739321,0.000755200837731294,2.0292374333812020745078987309,567.25088743092863925964904082,576.36710664207023040041916161,8476699000
11.94,2,0.3074988033143138809241451938,0.310005421387399,0.310005421387399,0.307873785848636,0.307873785848636,0.0556680982732102,0.0664532199533107723322215569,0.0656912497742421063322215569,0.000761970179068666,2.0290490052711520413162321891,567.24851488135749944588682688,576.34749077342133597411147409,8483804000
11.95,2,0.3074801681285217590919082271,0.309986851530414,0.309986851530414,0.307855127937978,0.307855127937978,0.0556709454755314,0.0664554173425306766168400994,0.0656866778221246386168400994,0.000768739520406038,2.0288609106394959540691506399,567.24614235639016446345893638,576.32787672750521418203447391,8490909000
11.96,2,0.3074615688608238478891739932,0.309968317884864,0.309968317884864,0.307836505989214,0.307836505989214,0.0556737991960464,0.0664576225097344436664605016,0.0656821136479910326664605016,0.000775508861743411,2.0286731362524977561322746578,567.24386859413263322074796193,576.30835722900006964092124048,8498015000
11.97,2,0.3074430044089347265085547166,0.309949819338769,0.309949819338769,0.307817918898716,0.307817918898716,0.0556766592148774,0.0664598351963708227050403034,0.0656775569932900387050403034,0.000782278203080784,2.0284856745983497880583179822,567.24159478162422457639342928,576.28883960205455415139086762,8505120000
11.98,2,0.3074244740472785702710541549,0.309931355176296,0.309931355176296,0.307799365940022,0.307799365940022,0.0556795258490591,0.0664620556942990810333144381,0.0656730081498809270333144381,0.000789047544418154,2.0282985339333399932129011867,567.23932030744681524769069637,576.26932323716292811833899151,8512225000
11.99,2,0.3074059786264103996532257120,0.309912926238335,0.309912926238335,0.307780847964726,0.307780847964726,0.0556823987771791,0.0664642837116492868981597831,0.0656684668258937598981597831,0.000795816885755527,2.0281117057911520445444357287,567.23714544292827742257615372,576.24990231132467548363258304,8519330000
12.00,2,0.3073875171225614880449745555,0.309894531511838,0.309894531511838,0.307762363947809,0.307762363947809,0.0556852783599897,0.0664665195735991327780041351,0.0656639333465062337780041351,0.000802586227092899,2.0279251993825764854185421857,567.23497019625405505274662385,576.23048293256315725581162855,8526436000
12.01,2,0.3073690915824218283819628578,0.309876173019725,0.309876173019725,0.307743915938457,0.307743915938457,0.0556881638095234,0.0664687625632599830863215653,0.0656594069948297130863215653,0.00080935556843027,2.0277389940654081887836320143,567.23279452060653822302818953,576.21106514960235198048290271,8533541000
12.02,2,0.3073506991079222833923911364,0.309857847899688,0.309857847899688,0.307725501035068,0.307725501035068,0.0556910563016495,0.0664710137558917581550220122,0.0656548888461241161550220122,0.000816124909767642,2.0275531205387090656096280703,567.23061846997356017444275198,576.19164887823936809070709893,8540647000
12.03,2,0.3073324415965100433932246789,0.309839658086266,0.309839658086266,0.307707221259348,0.307707221259348,0.0556939515594696,0.0664732724346653869942916094,0.0656503781835603719942916094,0.000822894251105015,2.0273675581619789564492440907,567.2285416284204016888028192,576.17232775099772073142906826,8547752000
12.04,2,0.3073141181735959866674329962,0.309821402582428,0.309821402582428,0.30768887549175,0.30768887549175,0.0556968566019496,0.0664755385995760295514438285,0.0656458750071336425514438285,0.000829663592442387,2.0271823068302193018551938121,567.22656395827575407170375358,576.15310176919319753630750053,8554857000
12.05,2,0.3072958278155277596432670837,0.309803180437362,0.309803180437362,0.30767056282932,0.30767056282932,0.0556997683288107,0.0664778126090002379755451984,0.0656413796752204779755451984,0.00083643293377976,2.0269973767052977451930978109,567.22448622279568559488390237,576.13378373309915282067591609,8561963000
12.06,2,0.3072776723962763606152124918,0.30978509356328,0.30978509356328,0.307652385270258,0.307652385270258,0.055702682497333,0.0664800937794873574021827690,0.0656368915043702274021827690,0.00084320227511713,2.0268127481029354270156698242,567.2225079191976373501908021,576.11456115460667157975450466,8569069000
12.07,2,0.3072594502605070434161232474,0.309766940192112,0.309766940192112,0.30763414091332,0.30763414091332,0.0557056064453297,0.0664823824027767251058944233,0.0656324107863222221058944233,0.000849971616454503,2.0266284292759857230842281477,567.22052881487599277405721849,576.09533983728180574264481894,8576173000
12.08,2,0.3072413611654521170951310222,0.309748920205178,0.309748920205178,0.307616029759335,0.307616029759335,0.0557085332594648,0.0664846785455011996193958291,0.0656279375877093246193958291,0.000856740957791875,2.0264444220284795739514865196,567.21864910754366840804700791,576.07621394943619694587710655,8583279000
12.09,2,0.3072232061807916845781917119,0.309730834550901,0.309730834550901,0.307597852635395,0.307597852635395,0.0557114698907672,0.0664869822076553564593717880,0.0656234719085261104593717880,0.000863510299129246,2.0262607262553973229830655148,567.21666962530754917252927711,576.05699630360377351644200066,8590384000
12.10,2,0.3072051852596674505563804250,0.309712883302556,0.309712883302556,0.307579809738475,0.307579809738475,0.0557144093025107,0.0664892933392561722732113504,0.0656190136987895542732113504,0.000870279640466618,2.0260773404199708107316788698,567.21488859382005872790408204,576.03796724352920681694308485,8597490000
